"FID","AREA_S_CD","AREA_NAME","Neighbourhood","Arsons","Assaults","Break & Enters","Drug Arrests","Fire Medical Calls","Fire Vehicle Incidents","Fires & Fire Alarms","Hazardous Incidents","Murders","Robberies","Sexual Assaults","Thefts","Total Major Crime Incidents","Vehicle Thefts","id","Equity_Score"
60,"079","University (79)","University",1,131,53,54,544,78,296,72,0,30,21,1,296,6,"079",75.07
38,"043","Victoria Village (43)","Victoria Village",0,107,48,14,392,59,154,62,2,17,6,9,221,18,"043",40.39
39,"077","Waterfront Communities-The Island (77)","Waterfront Communities-The Island",6,892,139,148,2115,382,1107,272,1,94,41,17,1393,61,"077",80.99
40,"136","West Hill (136)","West Hill",3,387,102,87,1145,78,338,142,1,71,52,3,749,46,"136",37.25
41,"001","West Humber-Clairville (1)","West Humber-Clairville",4,390,175,62,1321,502,705,210,0,82,68,54,1119,288,"001",45.78
42,"035","Westminster-Branson (35)","Westminster-Branson",0,128,98,23,659,18,169,71,0,27,14,7,323,26,"035",46.57
118,"113","Weston (113)","Weston",0,278,45,89,683,47,336,138,1,66,35,8,554,32,"113",35.99
90,"091","Weston-Pellam Park (91)","Weston-Pellam Park",0,125,44,58,353,22,128,64,0,17,26,7,300,23,"091",40.47
76,"119","Wexford/Maryvale (119)","Wexford/Maryvale",2,307,132,60,1073,192,271,165,0,49,23,8,620,41,"119",49.47
95,"051","Willowdale East (51)","Willowdale East",0,201,160,18,990,145,504,191,0,36,23,10,485,37,"051",69.67
96,"037","Willowdale West (37)","Willowdale West",2,85,23,18,345,13,87,73,0,19,9,4,168,10,"037",67.04
110,"007","Willowridge-Martingrove-Richview (7)","Willowridge-Martingrove-Richview",2,131,66,18,640,78,228,111,0,48,22,8,342,49,"007",54.46
111,"137","Woburn (137)","Woburn",2,412,128,77,1469,219,504,223,3,107,29,7,808,45,"137",39.01
112,"060","Woodbine-Lumsden (60)","Woodbine-Lumsden",1,60,12,4,216,23,66,53,0,10,6,2,101,7,"060",59.08
133,"064","Woodbine Corridor (64)","Woodbine Corridor",2,139,47,23,445,30,125,95,1,13,11,1,239,4,"064",68.11
137,"094","Wychwood (94)","Wychwood",1,91,58,15,507,56,140,96,0,23,13,5,220,15,"094",65.46
128,"100","Yonge-Eglinton (100)","Yonge-Eglinton",0,69,60,43,307,34,147,115,0,33,9,1,229,14,"100",88.11
0,"097","Yonge-St.Clair (97)","Yonge-St.Clair",0,27,62,0,312,28,175,67,0,3,5,6,111,8,"097",80.99
1,"027","York University Heights (27)","York University Heights",2,282,150,56,1007,143,798,186,2,99,49,16,776,122,"027",37.66
3,"031","Yorkdale-Glen Park (31)","Yorkdale-Glen Park",1,181,67,60,812,174,286,128,0,81,11,14,551,137,"031",49.53
